scu_id,floor,floor_text,d_uprn_count,uarn_count,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,street_descriptor,postcode_locator,age_ukbuildings_overall,age_ukbuildings_dom,age_ukbuildings_nd,location_x,location_y,wkb_geometry,d_epc_count,epc_rating_current,epc_rating_potential,d_epc_age,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_secondht_plant,d_epc_secondht_room,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_vent,d_epc_lowe_lighting_pct,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_pct,d_epc_glazing_type,d_epc_glazing_multi_pct,d_epc_rm_habitable,d_epc_rm_heated,nd_epc_grade,nd_epc_fuel_main,nd_epc_fuel_other,nd_epc_fuel_lzc,nd_epc_specialuses,nd_epc_hvac,ndtype_count,ndtype_1_carb3_activity,ndtype_1_area_pct,ndtype_2_carb3_activity,ndtype_2_area_pct,ndtype_3_carb3_activity,ndtype_3_area_pct,ndtype_4_carb3_activity,ndtype_4_area_pct,ndtype_5_carb3_activity,ndtype_5_area_pct,ndtype_6_carb3_activity,ndtype_6_area_pct,ndtype_7_carb3_activity,ndtype_7_area_pct,ndtype_8_carb3_activity,ndtype_8_area_pct,ndtype_9_carb3_activity,ndtype_9_area_pct
52401128330026,1,Floor 1,1,0,23,,,,,WANDLE ROAD,CR0 1DB ,PRE-1914,LATE VICTORIAN/EDWARDIAN 1870-1914,,532310,165051,"POLYGON ((532303.6 165050.65, 532306.4 165045.4, 532313 165049, 532311.75 165051.3, 532316.7 165053.85, 532315.15 165056.8, 532303.6 165050.65))",1,C,B,1983-1990,Mains Gas,Boiler,Radiators,None,NA,NA,Mains Gas,Boiler,NV,86,Suspended,No,Pitched,Yes,Solid Brick,Yes,0.0901617021276595,Double (post 2002),100,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330027,0,Ground Flr,1,0,18,,,,,WANDLE ROAD,CR0 1DB ,PRE-1914,LATE VICTORIAN/EDWARDIAN 1870-1914,,532295,165079,"POLYGON ((532294.9 165083.1, 532288.1 165079.5, 532290.9 165074.25, 532299.75 165078.9, 532302.5 165080.35, 532301 165083.2, 532296.2 165080.7, 532294.9 165083.1))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330027,1,Floor 1,1,0,18,,,,,WANDLE ROAD,CR0 1DB ,PRE-1914,LATE VICTORIAN/EDWARDIAN 1870-1914,,532295,165079,"POLYGON ((532294.9 165083.1, 532288.1 165079.5, 532290.9 165074.25, 532299.75 165078.9, 532302.5 165080.35, 532301 165083.2, 532296.2 165080.7, 532294.9 165083.1))",1,D,C,before 1900,Mains Gas,Boiler,Radiators,None,NA,NA,Mains Gas,Boiler,NV,0,Above (premises),Internal Floor,Pitched,Yes,Solid Brick,No,0.173810097719869,Double,100,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330028,0,Ground Flr,1,0,21,,,,,WANDLE ROAD,CR0 1DB ,PRE-1914,LATE VICTORIAN/EDWARDIAN 1870-1914,,532304,165061,"POLYGON ((532307.5 165059.3, 532306.3 165061.65, 532311.15 165064.15, 532309.5 165067.3, 532301.55 165063.05, 532297.95 165061.15, 532300.8 165055.8, 532307.5 165059.3))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330028,1,Floor 1,1,0,21,,,,,WANDLE ROAD,CR0 1DB ,PRE-1914,LATE VICTORIAN/EDWARDIAN 1870-1914,,532304,165061,"POLYGON ((532307.5 165059.3, 532306.3 165061.65, 532311.15 165064.15, 532309.5 165067.3, 532301.55 165063.05, 532297.95 165061.15, 532300.8 165055.8, 532307.5 165059.3))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330029,0,Ground Flr,1,0,9,,,,,LAUD STREET,CR0 1ST ,PRE-1914,EARLY AND MIDDLE VICTORIAN 1837-1870,,532312,165099,"POLYGON ((532312.05 165103.3, 532308.7 165102.1, 532311.6 165095.6, 532312.8 165096.1, 532313.9 165093.4, 532315.9 165094.1, 532312.05 165103.3))",1,D,C,before 1900,Mains Gas,Boiler,Radiators,None,NA,NA,Mains Gas,Boiler,NV,30,Suspended,No,Pitched,Yes,Solid Brick,No,0.131115653040877,Double (pre 2002),40,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330029,1,Floor 1,1,0,9,,,,,LAUD STREET,CR0 1ST ,PRE-1914,EARLY AND MIDDLE VICTORIAN 1837-1870,,532312,165099,"POLYGON ((532312.05 165103.3, 532308.7 165102.1, 532311.6 165095.6, 532312.8 165096.1, 532313.9 165093.4, 532315.9 165094.1, 532312.05 165103.3))",1,D,C,before 1900,Mains Gas,Boiler,Radiators,None,NA,NA,Mains Gas,Boiler,NV,30,Suspended,No,Pitched,Yes,Solid Brick,No,0.131115653040877,Double (pre 2002),40,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330030,0,Ground Flr,1,0,24,,,,,WANDLE ROAD,CR0 1DD ,PRE-1914,EARLY AND MIDDLE VICTORIAN 1837-1870,,532313,165042,"POLYGON ((532306.75 165042.45, 532308.3 165038, 532319.4 165042, 532320.8 165043, 532319.75 165045.9, 532316.95 165044.9, 532317.3 165043.9, 532314.35 165042.9, 532313.25 165046.15, 532306.75 165042.45))",1,D,C,1900-1929,Mains Gas,Boiler,Radiators,Mains Gas,Unknown,RmHeaters,Mains Gas,Boiler,NV,40,Suspended,No,Flat,Limited,Cavity,No,0.0966126203349597,Double (pre 2002),100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
52401128330030,1,Floor 1,1,0,24,,,,,WANDLE ROAD,CR0 1DD ,PRE-1914,EARLY AND MIDDLE VICTORIAN 1837-1870,,532313,165042,"POLYGON ((532306.75 165042.45, 532308.3 165038, 532319.4 165042, 532320.8 165043, 532319.75 165045.9, 532316.95 165044.9, 532317.3 165043.9, 532314.35 165042.9, 532313.25 165046.15, 532306.75 165042.45))",1,D,C,1900-1929,Mains Gas,Boiler,Radiators,Mains Gas,Unknown,RmHeaters,Mains Gas,Boiler,NV,40,Suspended,No,Flat,Limited,Cavity,No,0.0966126203349597,Double (pre 2002),100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
52401128410001,-1,Basement,0,2,123,,,,WRENCOTE,HIGH STREET,CR0 0XJ ,PRE-1914,,PRE WORLD WAR I (PRE 1914),532381,165149,"POLYGON ((532387.5 165150.95, 532386.4 165160.25, 532383.85 165160.05, 532383.75 165160.95, 532383.2 165160.9, 532374.5 165159.95, 532373.65 165159.85, 532373.8 165158.55, 532374.9 165149.85, 532375.65 165144.2, 532377.8 165144.4, 532378.25 165140.35, 532376.2 165140.15, 532376.9 165134.95, 532386.5 165136.15, 532384.85 165150.6, 532387.5 165150.95))",,,,,,,,,,,,,,,,,,,,,,,,,,D,Natural Gas,,,,,1,Office (Inc Computer Centres) NEC,1,,,,,,,,,,,,,,,,
