,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type
52401143210040,2,"POLYGON ((532374.05 165450.1, 532380.35 165450.35, 532376.8 165463.4, 532370.85 165461.8, 532374.05 165450.1))",False,4.9,0.1374753075527905,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532375.5672711913,165456.42383279218,1.0,nondom
52401143210041,2,"POLYGON ((532397.8 165455.7, 532403.8 165457.3, 532400.4 165469.75, 532394.4 165468.15, 532397.8 165455.7))",False,4.78,0.12259078908520349,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532399.1000000001,165462.72500000003,1.0,nondom
52401143210042,2,"POLYGON ((532380.35 165450.35, 532386.85 165450.65, 532386.35 165452.6, 532383 165465.1, 532376.8 165463.4, 532380.35 165450.35))",False,4.85,0.1364442614304012,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532381.805437242,165457.39471337348,1.0,nondom
52401143210043,2,"POLYGON ((532370.85 165461.8, 532369.6 165461.45, 532365.05 165460.25, 532367.9 165449.85, 532374.05 165450.1, 532370.85 165461.8))",False,4.92,0.1188753370643215,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532369.5214889618,165455.50588003395,1.0,nondom
52401143210044,2,"POLYGON ((532394.4 165468.15, 532388.6 165466.6, 532392 165454.15, 532397.8 165455.7, 532394.4 165468.15))",False,4.8,0.146379905576866,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532393.2000000001,165461.15000000002,1.0,nondom
52401143210045,2,"POLYGON ((532352.15 165488.55, 532356.95 165489.05, 532362.7 165489.9, 532368.6 165491.5, 532366.45 165500, 532364.6 165507.25, 532359.35 165505.85, 532350.8 165504.85, 532351.1 165500.8, 532351.15 165500, 532351.6 165494.85, 532352.15 165488.55))",False,16.48,0.1858883284566349,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532359.1037859488,165497.53311896097,1.0,nondom
52401143210048,1,"POLYGON ((532433.21 165465.19, 532427.7 165463.75, 532424.4 165476.05, 532430.05 165477.5, 532435.7 165478.95, 532436.3 165466, 532433.21 165465.19))",False,4.0,0.12937885341917885,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532430.9780181227,165471.47109245605,1.0,nondom
52401143210049,2,"POLYGON ((532336.1 165493.7, 532351.6 165494.85, 532351.15 165500, 532351.1 165500.8, 532341.6 165500, 532335.5 165499.55, 532336.1 165493.7))",False,15.71,0.2105162865295048,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532343.5933540193,165497.21976367332,1.0,nondom
52401143210050,3,"POLYGON ((532352.15 165488.55, 532352.5 165484.7, 532352.7 165482.7, 532342.35 165482.2, 532336.95 165481.95, 532336.65 165487.6, 532336.1 165493.7, 532351.6 165494.85, 532352.15 165488.55))",False,16.84,0.1802413197063918,,PRE-1914,Hospitality,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,532344.4035886341,165488.28927099286,1.0,nondom
52401149210003,1,"POLYGON ((531897.75 165487.25, 531892 165490.65, 531887.5 165482.9, 531890.7 165481.15, 531905.55 165473, 531909 165478.85, 531902.8 165482.5, 531902.15 165481.45, 531896.35 165484.9, 531897.75 165487.25))",False,4.62,0.0785032506803749,,PRE-1914,Office,,,,,,,,,,,,,,,,,,,,531897.8552100273,165481.44630461343,1.0,nondom
52401124410004,1,"POLYGON ((532206.05 165410.63, 532233.6 165423.1, 532236.6 165424.45, 532237.35 165424.8, 532235.28 165429.34, 532233.65 165432.92, 532232.79 165434.81, 532228.8 165443.55, 532224.55 165441.65, 532223.35 165444.35, 532222.15 165447.05, 532221 165449.8, 532225.25 165451.65, 532223.9 165454.75, 532147.35 165420.6, 532145.45 165414.8, 532146.35 165412.75, 532147.85 165409.4, 532150.6 165403.15, 532152.4 165399.1, 532153.56 165396.51, 532156 165391.05, 532156.75 165389.35, 532157 165388.8, 532165.6 165392.65, 532183.9 165400.8, 532186.943 165402.15, 532205.65 165410.45, 532206.05 165410.63))",False,11.829680566396613,0.11837963794100738,,PRE-1914,Transport,,,,,,,,,,,,,,,,,,,,532190.0774529577,165421.4180466199,1.0,nondom
