,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type
52401127510004,1,"POLYGON ((532432.37 164959.9, 532420.29 164956.42, 532418.31 164963.27, 532430.36 164966.74, 532430.98 164964.65, 532434.4 164965.65, 532435.73 164961.33, 532435.8 164960.9, 532432.37 164959.9))",False,8.71,0.0504369533527696,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532426.6719677075,164961.77905100025,1.0,nondom
52401127510005,1,"POLYGON ((532435.7 164948.53, 532432.41 164948.12, 532431.1 164947.95, 532431.2 164946.55, 532427.62 164946.24, 532428 164942.35, 532421.1 164941.7, 532421.35 164940.85, 532421.65 164940.05, 532422.1 164939.35, 532422.6 164938.7, 532423.25 164938.1, 532423.95 164937.65, 532424.75 164937.25, 532425.6 164937, 532426.45 164936.9, 532446.65 164938.85, 532446.55 164939.32, 532446.36 164940.88, 532445.5 164948.05, 532444.52 164948.15, 532437.8 164948.8, 532435.7 164948.53))",False,4.38,0.1078383964904162,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532435.3981619029,164942.54043582376,1.0,nondom
52401127510010,2,"POLYGON ((532420.29 164956.42, 532421.2 164953.25, 532427.55 164954.9, 532427.95 164953.2, 532433.88 164954.75, 532432.37 164959.9, 532420.29 164956.42))",False,10.47,0.1261705622925114,,PRE-1914,Office,Office,,,,,,,,,,,,,,,,,,,532427.648864392,164956.1887746858,1.0,nondom
52401127510014,1,"POLYGON ((532421.2 164953.25, 532419.8 164952.85, 532419 164950.95, 532420.25 164946.6, 532427.49 164947.53, 532429.1 164947.75, 532428.9 164949.2, 532431.85 164949.95, 532432.41 164948.12, 532435.7 164948.53, 532433.88 164954.75, 532427.95 164953.2, 532427.55 164954.9, 532421.2 164953.25))",False,8.47,0.108469952734638,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532426.8502087388,164950.80027305568,1.0,nondom
52401128310006,1,"POLYGON ((532357.45 165058.6, 532368.25 165061.75, 532370.45 165054.55, 532369.5 165054.2, 532359.6 165051.6, 532359.2 165051.45, 532358.75 165053.25, 532355.85 165052.55, 532354.95 165056.35, 532357.85 165057.05, 532357.7 165057.6, 532356.4 165057.2, 532356.1 165058.15, 532355.4 165060.8, 532355.1 165061.8, 532356.5 165062.15, 532356.7 165061.2, 532356.35 165061.1, 532357 165058.45, 532357.45 165058.6))",False,9.65,0.1333358964347884,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532362.6823296716,165056.52837145014,1.0,nondom
52401128310008,4,"POLYGON ((532349.3 164986.85, 532353.27 164988.37, 532374.7 164996.6, 532375.3 164994.95, 532385 164997.6, 532375.95 164992.29, 532375.98 164992.14, 532386.01 164995.2, 532384.75 165000, 532383.5 165004.55, 532376.35 165001.95, 532369.9 165000, 532347.45 164991.7, 532348.24 164989.62, 532349.3 164986.85))",False,7.34,0.12728208800125015,,PRE-1914,Office,Office,Office,Office,,,,,,,,,,,,,,,,,532368.2940580343,164995.85787615288,1.0,nondom
52401128310012,1,"POLYGON ((532367.6 165064.2, 532366.1 165069.65, 532363.35 165070.35, 532355 165067.5, 532355.3 165066.4, 532352.4 165065.65, 532353.3 165062.05, 532356.3 165062.8, 532356.5 165062.15, 532356.7 165061.2, 532367.6 165064.2))",False,9.61,0.1123990707402745,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532360.3471327353,165065.7079311818,1.0,nondom
52401128410002,1,"POLYGON ((532420.5 165071.45, 532432.85 165073.9, 532431.8 165079.3, 532419.45 165076.95, 532420.5 165071.45))",False,7.14,0.13422826340400335,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532426.1319292781,165075.39577977877,1.0,nondom
52401128410005,1,"POLYGON ((532376.2 165181.7, 532375.6 165185.1, 532375.25 165187.1, 532375.15 165187.7, 532375.1 165187.85, 532361.9 165185.75, 532362.9 165179.45, 532376.2 165181.7))",False,7.1,0.1346225208064288,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532369.0066440196,165183.6803032536,1.0,nondom
52401128410007,1,"POLYGON ((532404.9 165100.9, 532410.25 165102, 532408 165113.2, 532402.65 165112.15, 532404.9 165100.9))",False,6.7,0.1567024553425575,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532406.4484286419,165107.0604319234,1.0,nondom
52401128410008,1,"POLYGON ((532408 165113.2, 532410.25 165102, 532414.3 165102.8, 532414.2 165103.5, 532415.6 165103.75, 532413.45 165114.25, 532408 165113.2))",False,6.32,0.19512046058334276,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532411.8100129187,165108.20360122796,1.0,nondom
52401128410009,1,"POLYGON ((532428.65 165095.45, 532427.6 165100.55, 532415.2 165098.3, 532416.25 165093, 532428.65 165095.45))",False,6.95,0.0790865882352941,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532421.886995718,165096.81638628524,1.0,nondom
52401128410013,2,"POLYGON ((532380.8 165107.95, 532381.9 165102.25, 532396.65 165105.05, 532395.6 165110.8, 532380.8 165107.95))",False,6.48,0.17257842242885527,,PRE-1914,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,,532388.7455482008,165106.51595648055,1.0,nondom
52401128410016,2,"POLYGON ((532381.9 165102.25, 532383.09 165096.03, 532397.8 165098.8, 532397.7 165099.3, 532396.65 165105.05, 532381.9 165102.25))",False,6.48,0.17257842242885527,,PRE-1914,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,,532389.86199702,165100.53472547987,1.0,nondom
52401128410017,1,"POLYGON ((532397.15 165111.1, 532399.35 165099.85, 532404.9 165100.9, 532402.65 165112.15, 532397.15 165111.1))",False,6.53,0.148100141856582,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532401.0144919953,165105.99189440635,1.0,nondom
52401128910002,4,"POLYGON ((532259.4 165066.15, 532254.35 165074.85, 532249.2 165071.8, 532252.1 165066.85, 532252.75 165065.75, 532254.15 165066.55, 532255.65 165063.95, 532259.4 165066.15))",False,8.0,0.11106372112469666,,PRE-1914,Office,Office,Office,Office,,,,,,,,,,,,,,,,,532254.3128175746,165069.35490988026,1.0,nondom
