SCU,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type,epc_rating_current,epc_rating_potential,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_type,Cluster
52401124330037,1,"POLYGON ((531820.65 165445.2, 531814.8 165445.1, 531814.95 165434.6, 531820.8 165434.65, 531820.65 165445.2))",FALSE,4.36,0.100693737702693,,1945-1980,Dwell,,,,,,,,,,,,,,,,,,,,531817.8023139690,165439.88763650400,3.0,dom,C,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Solid,No,Room in Roof,Yes,Cavity,Yes,Double (post 2002),dom3
52401124330038,1,"POLYGON ((531764.63 165445.71, 531763.96 165446.59, 531762.73 165445.65, 531763.4 165444.77, 531759.96 165442.16, 531765.29 165435.16, 531769.95 165438.71, 531764.63 165445.71))",FALSE,4.38,0.183152045826513,,POST-1980,Dwell,,,,,,,,,,,,,,,,,,,,531764.9160899250,165440.60336125600,4.0,dom,B,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Double,dom0
52401124330039,1,"POLYGON ((531724.39 165485.18, 531721.68 165481.1, 531729.37 165475.72, 531731.32 165478.63, 531732.23 165478.02, 531733.01 165479.18, 531725.31 165484.57, 531724.39 165485.18))",FALSE,4.25,0.1535386610630510,,POST-1980,Dwell,,,,,,,,,,,,,,,,,,,,531727.0629153620,165480.40765001500,4.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401124330040,2,"POLYGON ((531708.3 165496.45, 531703.15 165500, 531701.95 165500.8, 531701.4 165500, 531699.15 165496.8, 531709.85 165489.75, 531711.4 165492, 531707.15 165494.85, 531708.3 165496.45))",FALSE,5.91,0.1608735178952440,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531705.0391514860,165495.4648775320,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401124330041,1,"POLYGON ((531725.31 165484.57, 531733.01 165479.18, 531734.96 165482.09, 531735.87 165481.48, 531736.76 165482.81, 531728.03 165488.64, 531725.31 165484.57))",FALSE,4.06,0.261556651615144,,POST-1980,Dwell,,,,,,,,,,,,,,,,,,,,531730.7666297260,165483.88059892400,4.0,dom,F,D,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Cavity,No,Double (pre 2002),dom0
52401124330042,2,"POLYGON ((531818.95 165403.15, 531817.15 165402.15, 531816.3 165403.7, 531817.05 165404.1, 531811.05 165414.5, 531813.7 165416.05, 531816.05 165412, 531817.75 165413, 531822.3 165405.1, 531818.95 165403.15))",FALSE,4.96,0.0954163914341284,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531816.8271878110,165408.93555344700,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401124330044,2,"POLYGON ((531783 165382.6, 531786.7 165384.75, 531780.65 165395.7, 531779.55 165395.05, 531780.05 165394.1, 531779.2 165393.6, 531781.4 165389.65, 531779.5 165388.6, 531783 165382.6))",FALSE,6.02,0.115639116719242,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531782.5835216240,165388.32562589000,1.0,dom,D,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double,dom0
52401124330046,2,"POLYGON ((531745.8 165458.1, 531747.55 165450.6, 531753.9 165452.1, 531752.1 165459.6, 531745.8 165458.1))",FALSE,5.62,0.145376075939184,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531749.8393962080,165455.09550898200,1.0,dom,D,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double,dom0
52401124410001,2,"POLYGON ((532264.03 165465.27, 532267.48 165457.61, 532268.11 165457.89, 532270.59 165452.38, 532270.79 165453, 532271.49 165455.17, 532272.02 165456.41, 532269.93 165460.88, 532270.6 165464.19, 532270.91 165464.23, 532271.23 165464.29, 532271.54 165464.36, 532271.84 165464.45, 532272.14 165464.55, 532272.44 165464.65, 532272.73 165464.78, 532273.02 165464.91, 532273.31 165465.06, 532273.58 165465.21, 532273.85 165465.38, 532274.12 165465.56, 532274.37 165465.74, 532274.62 165465.94, 532274.86 165466.15, 532275.1 165466.37, 532275.32 165466.59, 532275.53 165466.83, 532275.74 165467.07, 532275.93 165467.32, 532276.12 165467.58, 532276.29 165467.84, 532276.45 165468.12, 532276.6 165468.4, 532276.76 165468.73, 532277.81 165468.4, 532278.34 165470.09, 532277.3 165470.45, 532277.39 165470.91, 532277.48 165471.4, 532277.54 165471.9, 532277.59 165472.4, 532277.61 165472.9, 532277.61 165473.4, 532277.59 165473.9, 532277.56 165474.4, 532277.5 165474.89, 532277.42 165475.39, 532277.32 165475.88, 532277.21 165476.37, 532277.07 165476.85, 532276.8 165477.63, 532279.08 165478.77, 532280.35 165479.22, 532281.63 165479.62, 532283.76 165480.17, 532285.08 165480.43, 532286.41 165480.64, 532287.74 165480.79, 532289.95 165480.93, 532306.51 165480.81, 532306.49 165480.13, 532310.03 165480.04, 532310.04 165485.44, 532306.54 165485.45, 532306.54 165484.81, 532287.89 165485.01, 532281.86 165485.05, 532278.69 165485.26, 532277.05 165485.51, 532277.19 165486.65, 532274.93 165486.72, 532274.82 165485.85, 532274.82 165485.83, 532269.71 165486.7, 532269.16 165486.82, 532268.6 165486.92, 532268.04 165487, 532267.47 165487.05, 532266.7 165487.09, 532266.41 165487.1, 532266.13 165487.1, 532265.84 165487.1, 532265.55 165487.1, 532265.27 165487.09, 532264.98 165487.07, 532264.69 165487.05, 532264.41 165487.02, 532264.13 165486.98, 532263.85 165486.92, 532263.58 165486.86, 532263.31 165486.78, 532262.99 165486.66, 532262.68 165486.52, 532262.38 165486.37, 532262.09 165486.2, 532261.81 165486.02, 532261.53 165485.83, 532261.27 165485.62, 532261.01 165485.4, 532260.77 165485.17, 532260.53 165484.93, 532260.3 165484.68, 532260.04 165484.37, 532259.83 165484.1, 532259.64 165483.83, 532259.45 165483.55, 532259.28 165483.26, 532259.12 165482.96, 532258.97 165482.66, 532258.84 165482.35, 532258.71 165482.03, 532258.6 165481.72, 532258.51 165481.39, 532258.42 165481.07, 532258.35 165480.74, 532258.29 165480.4, 532258.23 165479.84, 532257.6 165479.55, 532257.76 165479.19, 532258.4 165479.48, 532258.73 165478.75, 532264.34 165466.29, 532264.67 165465.56, 532264.03 165465.27))",FALSE,32.3,0.1792717899129970,,PRE-1914,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,,532275.4941364120,165476.89804455200,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410002,4,"POLYGON ((532316.55 165474.29, 532316.71 165470.1, 532316.76 165466.85, 532315.76 165466.83, 532315.79 165464.83, 532316.79 165464.85, 532316.81 165463.45, 532316.54 165458.86, 532315.74 165458.91, 532315.52 165455.01, 532316.32 165454.97, 532316.27 165454.17, 532314.18 165454.36, 532308.08 165454.92, 532301.47 165455.52, 532299.42 165455.71, 532296.54 165455.98, 532296.54 165459.82, 532295.94 165459.82, 532295.94 165460.87, 532293.94 165460.87, 532293.94 165459.82, 532287.74 165459.82, 532287.69 165460.61, 532285.74 165460.66, 532285.74 165459.82, 532281.66 165458.17, 532272.85 165454.62, 532271.49 165455.17, 532272.02 165456.41, 532269.93 165460.88, 532270.6 165464.19, 532270.91 165464.23, 532271.23 165464.29, 532271.54 165464.36, 532271.84 165464.45, 532272.14 165464.55, 532272.44 165464.65, 532272.73 165464.78, 532273.02 165464.91, 532273.31 165465.06, 532273.58 165465.21, 532273.85 165465.38, 532274.12 165465.56, 532274.37 165465.74, 532274.62 165465.94, 532274.86 165466.15, 532275.1 165466.37, 532275.32 165466.59, 532275.53 165466.83, 532275.74 165467.07, 532275.93 165467.32, 532276.12 165467.58, 532276.29 165467.84, 532276.45 165468.12, 532276.6 165468.4, 532276.76 165468.73, 532277.81 165468.4, 532278.34 165470.09, 532277.3 165470.45, 532277.39 165470.91, 532277.48 165471.4, 532277.54 165471.9, 532277.59 165472.4, 532277.61 165472.9, 532277.61 165473.4, 532277.59 165473.9, 532277.56 165474.4, 532277.5 165474.89, 532277.42 165475.39, 532277.32 165475.88, 532277.21 165476.37, 532277.07 165476.85, 532276.8 165477.63, 532279.08 165478.77, 532280.35 165479.22, 532281.63 165479.62, 532283.76 165480.17, 532285.08 165480.43, 532286.41 165480.64, 532287.74 165480.79, 532289.95 165480.93, 532306.51 165480.81, 532306.49 165480.13, 532310.03 165480.04, 532310.04 165485.44, 532306.54 165485.45, 532306.54 165484.81, 532287.89 165485.01, 532281.86 165485.05, 532278.69 165485.26, 532277.05 165485.51, 532277.19 165486.65, 532274.93 165486.72, 532274.82 165485.85, 532274.82 165485.83, 532269.71 165486.7, 532269.16 165486.82, 532268.6 165486.92, 532268.04 165487, 532267.47 165487.05, 532266.7 165487.09, 532266.41 165487.1, 532266.13 165487.1, 532265.84 165487.1, 532265.55 165487.1, 532265.27 165487.09, 532264.98 165487.07, 532264.69 165487.05, 532264.41 165487.02, 532264.13 165486.98, 532263.85 165486.92, 532263.58 165486.86, 532263.31 165486.78, 532262.99 165486.66, 532262.68 165486.52, 532262.38 165486.37, 532262.09 165486.2, 532261.81 165486.02, 532261.53 165485.83, 532261.27 165485.62, 532261.01 165485.4, 532260.77 165485.17, 532260.53 165484.93, 532260.3 165484.68, 532260.04 165484.37, 532259.83 165484.1, 532259.64 165483.83, 532259.45 165483.55, 532259.28 165483.26, 532259.12 165482.96, 532258.97 165482.66, 532258.84 165482.35, 532258.71 165482.03, 532258.6 165481.72, 532258.51 165481.39, 532258.42 165481.07, 532258.35 165480.74, 532258.29 165480.4, 532258.23 165479.84, 532257.6 165479.55, 532251.3 165493.72, 532252.66 165494.35, 532250.85 165498.25, 532250.3 165497.99, 532250.01 165498.63, 532253.3 165500, 532264.2 165505.41, 532273.75 165509.09, 532275.44 165509.74, 532275.12 165510.69, 532275.21 165510.72, 532279.89 165512.56, 532280.9 165512.95, 532289.5 165513.2, 532302.05 165513.55, 532312.45 165513.8, 532314.7 165513.85, 532314.73 165512.85, 532313.74 165512.81, 532313.89 165508.52, 532314.87 165508.55, 532314.9 165507.65, 532315.06 165503.56, 532313.87 165503.51, 532313.96 165501.11, 532315.15 165501.16, 532315.2 165500, 532315.77 165491.44, 532316 165487.95, 532316.05 165487.15, 532316.55 165474.29))",FALSE,29.63,0.1759830270454950,,POST-1980,Sport,Office,Sport,Sport,,,,,,,,,,,,,,,,,532290.5648840700,165486.4860095350,4.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410003,7,"POLYGON ((532292.3 165402.3, 532295 165395.65, 532302.25 165398.55, 532311.1 165398.05, 532311.75 165405, 532300.8 165405.8, 532292.3 165402.3))",FALSE,16.4,0.1875179294908030,,PRE-1914,Shop,Shop,Dwell,Dwell,Dwell,Dwell,Dwell,,,,,,,,,,,,,,532302.3007944810,165401.3670156300,1.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom4
52401124410004,1,"POLYGON ((532206.05 165410.63, 532233.6 165423.1, 532236.6 165424.45, 532237.35 165424.8, 532235.28 165429.34, 532233.65 165432.92, 532232.79 165434.81, 532228.8 165443.55, 532224.55 165441.65, 532223.35 165444.35, 532222.15 165447.05, 532221 165449.8, 532225.25 165451.65, 532223.9 165454.75, 532147.35 165420.6, 532145.45 165414.8, 532146.35 165412.75, 532147.85 165409.4, 532150.6 165403.15, 532152.4 165399.1, 532153.56 165396.51, 532156 165391.05, 532156.75 165389.35, 532157 165388.8, 532165.6 165392.65, 532183.9 165400.8, 532186.943 165402.15, 532205.65 165410.45, 532206.05 165410.63))",FALSE,11.829680566396600,0.1183796379410070,,PRE-1914,Transport,,,,,,,,,,,,,,,,,,,,532190.0774529580,165421.4180466200,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410005,6,"POLYGON ((532310.6 165383.75, 532310 165368.5, 532306 165367.8, 532302.75 165376.05, 532300.3 165382.35, 532297.9 165388.55, 532300.75 165389.65, 532300.35 165390.9, 532298.8 165390.3, 532298.45 165391.15, 532297.1 165390.65, 532295 165395.65, 532302.25 165398.55, 532311.1 165398.05, 532310.85 165390.35, 532310.7 165386.55, 532310.6 165383.75))",FALSE,14.93,0.05,,PRE-1914,Shop,Shop,Shop,Shop,Shop,Dwell,,,,,,,,,,,,,,,532305.0637060480,165385.86346159100,1.0,mixed,D,D,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Solid Brick,No,Single,dom2
52401124410007,6,"POLYGON ((532312.4 165411.95, 532313.05 165418.7, 532298.1 165420.45, 532298.05 165418.55, 532295.1 165417.45, 532293.45 165416.8, 532292.65 165418.35, 532286.75 165415.95, 532289.5 165409.25, 532299.85 165413.4, 532312.4 165411.95))",FALSE,15.33,0.3800455766513740,,PRE-1914,Shop,Shop,Shop,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,532300.2470565940,165415.3966912990,1.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom2
52401124410009,1,"POLYGON ((532289.5 165409.25, 532292.05 165402.9, 532292.3 165402.3, 532300.8 165405.8, 532311.75 165405, 532312.4 165411.95, 532299.85 165413.4, 532289.5 165409.25))",FALSE,14.6,0.1529632888128430,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532301.163915187,165408.50218628400,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410011,7,"POLYGON ((532295.95 165434.6, 532295.9 165432.3, 532291.85 165430.65, 532291 165432.5, 532281.65 165428.55, 532284.25 165422.15, 532286.75 165415.95, 532292.65 165418.35, 532294.4 165419.05, 532294.75 165419.2, 532293.9 165421.05, 532297.2 165422.5, 532298.1 165420.45, 532313.05 165418.7, 532313.3 165421.25, 532312.2 165421.35, 532312.4 165423.7, 532313.6 165423.65, 532313.8 165425.65, 532314 165427.85, 532312.15 165428, 532312.55 165432, 532314.4 165431.8, 532314.5 165432.7, 532301 165434.05, 532296.6 165434.45, 532295.95 165434.6))",FALSE,21.59,0.1513326483887220,,PRE-1914,Shop,Shop,Office,Office,Office,Office,Dwell,,,,,,,,,,,,,,532298.5902950600,165425.9904322180,1.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom4
52401124410019,1,"POLYGON ((532302.32 165447.69, 532299.55 165447.95, 532296.86 165448.19, 532294.4 165448.4, 532294.94 165445.12, 532295.15 165443.85, 532299.05 165443.55, 532301.83 165443.25, 532302.32 165447.69))",FALSE,14.69,0.1558528137030680,,1945-1980,Shop,,,,,,,,,,,,,,,,,,,,532298.4217523710,165445.87697131300,3.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410020,1,"POLYGON ((532299.07 165450.98, 532299.13 165451.8, 532299.42 165455.71, 532296.54 165455.98, 532292.9 165456.31, 532293.05 165455.47, 532293.29 165454.19, 532293.8 165451.45, 532298.64 165451.02, 532299.07 165450.98))",FALSE,15.41,0.2905731063893920,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532296.2894245830,165453.69942939800,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410021,1,"POLYGON ((532307.16 165442.68, 532315.3 165441.8, 532315.7 165446.45, 532307.62 165447.2, 532307.16 165442.68))",FALSE,15.99,0.1919051820410720,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532311.4627867470,165444.52731140200,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410023,1,"POLYGON ((532299.07 165450.98, 532298.64 165451.02, 532293.8 165451.45, 532294.4 165448.4, 532296.86 165448.19, 532299.55 165447.95, 532302.32 165447.69, 532307.62 165447.2, 532315.7 165446.45, 532315.9 165449.4, 532307.69 165450.17, 532299.07 165450.98))",FALSE,16.32,0.1578489596405610,,1945-1980,Shop,,,,,,,,,,,,,,,,,,,,532304.93372511,165448.94564256800,3.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410024,4,"POLYGON ((532307.62 165447.2, 532302.32 165447.69, 532301.83 165443.25, 532307.16 165442.68, 532307.62 165447.2))",FALSE,16.45,0.1864784629972680,,PRE-1914,Hospitality,Office,Office,Office,,,,,,,,,,,,,,,,,532304.7397502180,165445.2015739830,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124410026,5,"POLYGON ((532296.6 165434.45, 532296.6 165436, 532301.1 165435.6, 532301 165434.05, 532314.5 165432.7, 532315.3 165441.8, 532307.16 165442.68, 532301.83 165443.25, 532299.05 165443.55, 532295.15 165443.85, 532293.8 165443.3, 532278.25 165437, 532281.65 165428.55, 532291 165432.5, 532295.95 165434.6, 532296.6 165434.45))",FALSE,14.93,0.05,,PRE-1914,Hospitality,Dwell,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,532297.1363414330,165437.34914420000,1.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom2
52401124420002,1,"POLYGON ((532264.91 165425.45, 532262.28 165431.33, 532261.52 165433.04, 532261.44 165433.22, 532248.7 165461.8, 532238.17 165457.11, 532239.31 165454.54, 532250.15 165430.19, 532248.94 165429.65, 532248.55 165429.48, 532247.04 165428.81, 532244.37 165427.62, 532243.51 165429.57, 532240.72 165428.34, 532239.41 165431.3, 532236.63 165429.98, 532238.66 165425.38, 532237.35 165424.8, 532236.6 165424.45, 532233.6 165423.1, 532206.05 165410.63, 532208.54 165404.94, 532211.08 165406.05, 532212.03 165403.87, 532241.57 165418.41, 532242.13 165417.12, 532247.274 165419.374, 532253.31 165422.02, 532253.91 165420.64, 532264.91 165425.45))",FALSE,3.72,0.9,,PRE-1914,Dwell,,,,,,,,,,,,,,,,,,,,532241.6042278890,165429.98355143600,1.0,dom,C,C,Electricity,Unknown,RmHeaters,None,Electricity,ImmersionHeater,Above (premises),Internal Floor,Below (premises),Internal Floor,Unknown (uvalue),Unknown (uvalue),High Performance,dom0
52401124510001,4,"POLYGON ((532263.15 165410.6, 532260.05 165409.15, 532258.714 165411.847, 532257.4 165414.5, 532261 165416.1, 532261.55 165414.85, 532264.35 165416, 532264.7 165416.15, 532271.75 165419.1, 532273.4 165415.1, 532265 165411.5, 532263.15 165410.6))",FALSE,6.85,0.1468666266895840,,PRE-1914,Shop,Shop,Shop,Shop,,,,,,,,,,,,,,,,,532265.237128623,165414.21104632600,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401124530001,3,"POLYGON ((532271.75 165419.1, 532270.25 165422.8, 532263.15 165419.85, 532263.5 165419, 532264.7 165416.15, 532271.75 165419.1))",FALSE,9.01,0.05,,PRE-1914,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,,532267.4575512560,165419.47525865600,1.0,dom,C,B,Electricity,Unknown,RmHeaters,None,Electricity,ImmersionHeater,Above (premises),Internal Floor,Below (premises),Internal Floor,Cavity,Yes,Double (post 2002),dom2
52401125510001,4,"POLYGON ((531910.75 164949.85, 531913.55 164950.2, 531913.35 164951.8, 531918.6 164952.2, 531917.75 164961.45, 531918.95 164963.15, 531917.4 164964.45, 531917.3 164966, 531916 164965.85, 531915.6 164968.85, 531916.95 164969, 531916.85 164970.45, 531918.05 164972.05, 531916.55 164973.3, 531916.4 164975.55, 531917.5 164977.2, 531916 164978.5, 531915.95 164979.85, 531919.2 164980.1, 531919.06 164981.25, 531919.066 164981.253, 531920.81 164982.1, 531921.62 164980.35, 531922.71 164978, 531932.76 164982.75, 531934.81 164978.51, 531941.41 164981.66, 531935.46 164994.14, 531935.05 164995.01, 531928.55 164991.95, 531929.6 164989.8, 531924.9 164987.6, 531922.8 164992, 531920 164991.74, 531918.55 164991.6, 531915.85 164991.35, 531915.75 164992.45, 531917 164994.1, 531915.45 164995.45, 531915.2 164997.8, 531916.5 164999.45, 531915.9 165000, 531914.8 165000.7, 531914.8 165001.95, 531913.6 165001.8, 531913.4 165004.95, 531914.5 165005, 531914.5 165005.15, 531914.4 165006.35, 531915.65 165008.05, 531914 165009.35, 531913.5 165017.35, 531899.9 165016.5, 531900.65 165008.25, 531899.4 165006.45, 531900.9 165005.35, 531901 165003.75, 531902.45 165003.85, 531902.65 165000.6, 531901.5 165000.55, 531901.6 165000, 531901.75 164999.6, 531900.35 164997.85, 531902.05 164996.35, 531902.25 164994.1, 531900.9 164992.25, 531902.6 164990.7, 531902.75 164988.7, 531901.4 164987.1, 531903.1 164985.55, 531903.4 164983.2, 531904.1 164983.2, 531904.3 164981, 531905.55 164981.05, 531905.8 164979, 531903.86 164978.82, 531902.6 164978.7, 531902.7 164977.45, 531901.35 164975.7, 531903.1 164974.25, 531903.25 164972.05, 531901.95 164970.5, 531903.55 164969, 531903.7 164967.8, 531904.9 164967.9, 531905.2 164964.75, 531904 164964.7, 531904.1 164963.4, 531902.75 164961.6, 531904.4 164960.15, 531905.3 164950.95, 531909.05 164951.34, 531910.55 164951.5, 531910.75 164949.85))",FALSE,10.94,0.1208653064956870,,1945-1980,Office,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,531913.6102379340,164984.56528301100,3.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom2
52401125510002,2,"POLYGON ((532018.97 165005.63, 532016.55 165010.5, 532018.15 165011.3, 532013.4 165021.05, 532012 165020.35, 532011.15 165022.25, 532009.45 165026.05, 532005.15 165035.1, 532000 165046.2, 531995.7 165055.75, 531984.25 165050.6, 532000 165016.35, 532000.6 165015.05, 532000 165014.55, 531991.6 165010.35, 531987.9 165008.8, 531987.8 165009.15, 531968.95 165000.65, 531967.5 165000, 531959.78 164996.43, 531955.07 164994.26, 531952.52 164993.07, 531952.25 164992.95, 531958.25 164979.95, 531995.3 164997.05, 531995.85 164995.75, 532000 164997.6, 532005.15 165000, 532011.8 165003.05, 532012.15 165002.3, 532018.97 165005.63))",FALSE,5.84,0.1958000803812370,,1945-1980,Emergency,Emergency,,,,,,,,,,,,,,,,,,,531990.3639712370,165012.01105512100,3.0,nondom,,,,,,,,,,,,,,,,nondom1
52401125530001,2,"POLYGON ((531830.3 165225.95, 531822.55 165224.1, 531823.55 165219.95, 531834.7 165222.75, 531836.6 165223.25, 531835.95 165226.15, 531830.6 165224.85, 531830.3 165225.95))",FALSE,5.87,0.185790813503043,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531829.1150855030,165223.3203690350,1.0,dom,C,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double (post 2002),dom0
52401125530002,2,"POLYGON ((531854.95 165227.5, 531850.45 165226.3, 531850.8 165225.15, 531852.05 165219.65, 531856.55 165220.85, 531856.25 165221.95, 531854.95 165227.5))",FALSE,5.59,0.0725977301387137,,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531853.509561811,165223.57456095100,4.0,dom,C,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,Limited,Pitched,Yes,Cavity,Yes,Double (pre 2002),dom0
52401125530003,1,"POLYGON ((531850 165233.6, 531844.15 165232.25, 531845.15 165228, 531846.9 165228.4, 531851 165229.35, 531850 165233.6))",FALSE,4.35,0.0704427882507672,,POST-1980,Dwell,,,,,,,,,,,,,,,,,,,,531847.575046475,165230.799049049,4.0,dom,D,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Cavity,Yes,Double,dom0
52401125530004,2,"POLYGON ((532019.21 164976.2, 532020.24 164976.94, 532021.16 164977.61, 532019.59 164979.77, 532015.7 164985.15, 532021.79 164989.56, 532021.85 164989.6, 532021.89 164989.54, 532027.25 164982.15, 532025.2 164980.7, 532026 164979.62, 532026.75 164978.6, 532026.05 164978.1, 532026.9 164976.9, 532022.4 164973.6, 532022.05 164974.1, 532021.25 164973.55, 532022.2 164972.2, 532015.1 164967, 532014.1 164968.38, 532011.21 164972.36, 532017.31 164976.81, 532018.25 164977.5, 532019.21 164976.2))",FALSE,8.19,0.0812176274204317,,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532020.0274619120,164978.19379260100,3.0,dom,C,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Cavity,Yes,Double (pre 2002),dom3
52401125530005,2,"POLYGON ((531859.5 165229.7, 531854.7 165228.4, 531854.95 165227.5, 531856.25 165221.95, 531859.7 165222.9, 531861.25 165223.3, 531861.15 165223.65, 531859.5 165229.7))",FALSE,5.98,0.1198342057219080,,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531857.9366902990,165225.8197711440,4.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401125530006,2,"POLYGON ((531845.4 165251.05, 531841.65 165263.45, 531837.6 165262.25, 531839.85 165254.75, 531841 165255.1, 531842.5 165250.2, 531845.4 165251.05))",FALSE,6.48,0.1725784224288550,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531841.5361444390,165257.17862446400,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401125530007,2,"POLYGON ((531824.55 165215.85, 531825.55 165211.65, 531836.65 165214.6, 531835.95 165217.5, 531832.6 165216.7, 531832.3 165217.8, 531824.55 165215.85))",FALSE,6.14,0.1385461250081860,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531830.2515327120,165214.95437837700,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401125530008,2,"POLYGON ((531857.2 165254.35, 531857.75 165252.7, 531854.5 165251.65, 531853.95 165253.35, 531850.3 165266.1, 531854.65 165267.4, 531856.8 165259.85, 531855.6 165259.5, 531857.2 165254.35))",FALSE,6.11,0.262323594132029,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531854.1620412300,165259.9907320060,1.0,dom,D,C,Mains Gas,Boiler,Radiators,Mains Gas,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double (pre 2002),dom3
52401125530009,2,"POLYGON ((531833.05 165240.05, 531819.45 165236.8, 531820.5 165232.55, 531828.25 165234.45, 531827.95 165235.7, 531833.75 165237.1, 531833.05 165240.05))",FALSE,6.3,0.145246808890475,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531826.128448337,165236.39020797400,1.0,dom,E,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,No,Solid Brick,No,Double,dom3
